EGNo,WhaleName,VisualGenderCode,GeneticGenderCode,GenderCode,FirstYearSighted,LastYearSighted,BirthYear,Mother,Father,DeathYear,Darted,ReDart,Tagged,AllImagesQuality,Haplotype,Cow,FirstCalvingYear,LipsLeft,LipsRight,MandibleLeft,MandibleRight,Belly,Chin,CatalogedDate,CompositeLastUpdated,WhaleNote,CreatedBy,CreatedDate,EditedBy,EditedDate,ChangeStamp
1001,FERMATA,F,F,F,1978,1992,,,,,TRUE,FALSE,FALSE,1,D,TRUE,1979,N,N,,,Y,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1002,,F,X,F,1973,1973,,,,,FALSE,FALSE,FALSE,4,,TRUE,1973,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1003,,X,X,X,1975,1975,,,,,FALSE,FALSE,FALSE,8,,FALSE,,N,N,,,X,X,,,,<unknown>,1900-01-01,aknowlton,2014-02-04,
1004,STUMPY,F,F,F,1975,2004,,,,2004,TRUE,FALSE,FALSE,1,D,TRUE,1980,N,N,,,N,N,,,"In 1997, Stumpy's calf, #1705, was actually the biological calf of #1151. They swapped calves on the calving grounds and raised each other's calves. We kept #1705 as Stumpy's calf in the Catalog because that matches all photo-ID records. Stumpy's biological calf was #1707. See Frasier et al. 2010.",<unknown>,1900-01-01,phamilton,2014-09-30,
1005,,X,M,M,1982,1997,,,,,TRUE,FALSE,FALSE,1,C,FALSE,,N,N,,,X,X,,,"On 11/8/10, it was discovered that this whale may be male. See GenProb 44. If data are correct, will need to remove it as a calving female and we will loose an identified cow for 1976. PKH. Changed genetic sex from female  to male on 12/9/10- it had mistakenly been entered as female eventhough Trent told us in 2007 that it was male-PKH",<unknown>,1900-01-01,phamilton,2011-01-14,
1006,QUASIMODO,F,X,F,1979,1986,1979,1001,,,FALSE,FALSE,FALSE,1,D,FALSE,,M,M,,,Y,Y,,,,<unknown>,1900-01-01,aknowlton,2012-07-26,
1007,,F,X,F,1977,1986,,,,,FALSE,FALSE,FALSE,1,A,TRUE,1977,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1010,,X,X,X,1956,1956,,,,,FALSE,FALSE,FALSE,3,,FALSE,,X,N,,,X,X,2018-08-31,2018-11-01,"Although this whale has not been since 1956, it clearly does not match any existing whale in the Catalog and so was added based on this single sighting.",phamilton,2018-08-31,phamilton,2018-11-01,
1012,PEDIDDLE,F,F,F,1978,2019,,,,,TRUE,FALSE,FALSE,1,B,TRUE,1983,S,M,4,2,X,X,,,Genetic sex added 9/24/07,<unknown>,1900-01-01,phamilton,2021-09-30,
1013,,F,F,F,1980,2007,,,,,TRUE,TRUE,FALSE,1,D,TRUE,1980,N,N,,,Y,Y,,,8/17/11 LMC changed belly to white.,<unknown>,1900-01-01,mhagbloom,2015-06-24,
1014,STACCATO,F,F,F,1974,1999,,,,1999,TRUE,FALSE,FALSE,1,A,TRUE,1977,N,N,,,Y,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1017,BATMAN,X,M,M,1980,2021,,,,,TRUE,FALSE,FALSE,1,C,FALSE,,N,S,5,5,X,N,,,"2792 WAS MATCHED TO THIS WHALE 1/28/04. ALL SIGHTINGS BECAME 1017. Orca rake marks on flipper and flukes. Sex based on SampleID 7, 158, and 175. Named in 2021- scars on right lip look like Batman's masked eyes and mouth.",<unknown>,1900-01-01,kmcpherson,2022-01-04,
1018,,X,X,X,1980,1998,,,,,FALSE,FALSE,FALSE,1,,FALSE,,N,N,,,X,X,,,,<unknown>,1900-01-01,<unknown>,1900-01-01,
1019,RADIATOR,X,M,M,1958,2009,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,S,M,,,X,X,,,,<unknown>,1900-01-01,<unknown>,1900-01-01,
1021,,X,M,M,1980,1998,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,N,N,,,X,N,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1025,DROOPY,F,X,F,1980,1983,,,,,FALSE,FALSE,FALSE,1,A,TRUE,1980,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1026,PALETTE,X,M,M,1980,2009,1980,1025,,,TRUE,FALSE,TRUE,1,A,FALSE,,N,N,,,Y,Y,,,Head similar to 3430.,<unknown>,1900-01-01,mhagbloom,2014-06-27,
1027,ADMIRAL,F,F,F,1979,2007,,,,,TRUE,FALSE,TRUE,1,D,FALSE,,M,L,,,N,N,,,,<unknown>,1900-01-01,phamilton,2013-07-01,
1028,STARRY NIGHT,M,M,M,1980,2011,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,N,N,,,N,N,,,"Genetic sex added 9/24/07, Halpotype added 10/5/07",<unknown>,1900-01-01,phamilton,2010-03-30,
