EGNo,AgeYear,Age,AgeClassCode,AliveStatusCode
1001,1978,U,A,A
1001,1979,U,A,A
1001,1980,U,A,A
1001,1981,U,A,A
1001,1982,U,A,A
1001,1983,U,A,A
1001,1984,U,A,A
1001,1985,U,A,A
1001,1986,A,A,A
1001,1987,A,A,A
1001,1988,A,A,A
1001,1989,A,A,A
1001,1990,A,A,A
1001,1991,A,A,A
1001,1992,A,A,A
1001,1993,A,A,A
1001,1994,A,A,A
1001,1995,A,A,A
1001,1996,A,A,A
1001,1997,A,A,A
1001,1998,A,A,P
1001,1999,A,A,SP
1001,2000,A,A,SP
1001,2001,A,A,SP
1001,2002,A,A,SP
1001,2003,A,A,SP
1001,2004,A,A,SP
1001,2005,A,A,SP
1001,2006,A,A,SP
1001,2007,A,A,SP
1001,2008,A,A,SP
1001,2009,A,A,SP
1001,2010,A,A,SP
1001,2011,A,A,SP
1001,2012,A,A,SP
1001,2013,A,A,SP
1001,2014,A,A,SP
1001,2015,A,A,SP
1001,2016,A,A,SP
1001,2017,A,A,SP
1001,2018,A,A,SP
1001,2019,A,A,SP
1001,2020,A,A,SP
1001,2021,A,A,SP
1001,2022,A,A,SP
1001,2023,A,A,SP
1002,1973,U,A,A
1002,1974,U,A,A
1002,1975,U,A,A
1002,1976,U,A,A
1002,1977,U,A,A
1002,1978,U,A,A
1002,1979,U,A,P
1002,1980,U,A,SP
1002,1981,A,A,SP
1002,1982,A,A,SP
1002,1983,A,A,SP
1002,1984,A,A,SP
1002,1985,A,A,SP
1002,1986,A,A,SP
1002,1987,A,A,SP
1002,1988,A,A,SP
1002,1989,A,A,SP
1002,1990,A,A,SP
1002,1991,A,A,SP
1002,1992,A,A,SP
1002,1993,A,A,SP
1002,1994,A,A,SP
1002,1995,A,A,SP
1002,1996,A,A,SP
1002,1997,A,A,SP
1002,1998,A,A,SP
1002,1999,A,A,SP
1002,2000,A,A,SP
1002,2001,A,A,SP
1002,2002,A,A,SP
1002,2003,A,A,SP
1002,2004,A,A,SP
1002,2005,A,A,SP
1002,2006,A,A,SP
1002,2007,A,A,SP
1002,2008,A,A,SP
1002,2009,A,A,SP
1002,2010,A,A,SP
1002,2011,A,A,SP
1002,2012,A,A,SP
1002,2013,A,A,SP
1002,2014,A,A,SP
1002,2015,A,A,SP
1002,2016,A,A,SP
1002,2017,A,A,SP
1002,2018,A,A,SP
1002,2019,A,A,SP
1002,2020,A,A,SP
1002,2021,A,A,SP
1002,2022,A,A,SP
1002,2023,A,A,SP
1003,1975,U,U,A
1003,1976,U,U,A
1003,1977,U,U,A
1003,1978,U,U,A
1003,1979,U,U,A
1003,1980,U,U,A
1003,1981,U,U,P
1003,1982,U,U,SP
1003,1983,A,A,SP
1003,1984,A,A,SP
1003,1985,A,A,SP
1003,1986,A,A,SP
1003,1987,A,A,SP
1003,1988,A,A,SP
1003,1989,A,A,SP
1003,1990,A,A,SP
1003,1991,A,A,SP
1003,1992,A,A,SP
1003,1993,A,A,SP
1003,1994,A,A,SP
1003,1995,A,A,SP
1003,1996,A,A,SP
1003,1997,A,A,SP
1003,1998,A,A,SP
1003,1999,A,A,SP
1003,2000,A,A,SP
1003,2001,A,A,SP
1003,2002,A,A,SP
1003,2003,A,A,SP
1003,2004,A,A,SP
1003,2005,A,A,SP
1003,2006,A,A,SP
