"nea"	"mean_fecundity"
"1004"	"1004"	0.00471644674398504
"1012"	"1012"	0.00454222135472085
"1027"	"1027"	-0.00200728258639717
"1039"	"1039"	0.00156359891140099
"1114"	"1114"	0.00281779945799228
"1123"	"1123"	0.00451352957188462
"1135"	"1135"	0.00730649648919319
"1140"	"1140"	0.00396440934905591
"1142"	"1142"	0.0032269401200161
"1145"	"1145"	0.00370397203645667
"1151"	"1151"	0.00422581340590457
"1157"	"1157"	0.0052325930097055
"1158"	"1158"	-0.00048048485447989
"1201"	"1201"	0.00409148642972228
"1204"	"1204"	0.00630576273281726
"1208"	"1208"	0.00362297996441831
"1209"	"1209"	-0.00161025453926851
"1233"	"1233"	0.00425276871112923
"1240"	"1240"	0.00484239761414074
"1241"	"1241"	0.00333061039166086
"1242"	"1242"	0.00111509732928795
"1243"	"1243"	0.00425364496523058
"1245"	"1245"	0.00355124974548609
"1246"	"1246"	0.0023457519382232
"1254"	"1254"	0.0120525329037661
"1266"	"1266"	0.00414279857136145
"1267"	"1267"	-0.00197806172504374
"1281"	"1281"	0.00411757899918318
"1301"	"1301"	0.00247959510233817
"1303"	"1303"	0.00434653752919222
"1308"	"1308"	0.00225013018574316
"1310"	"1310"	0.00487948584986242
"1315"	"1315"	0.00617835339301049
"1321"	"1321"	0.00406240497727794
"1334"	"1334"	0.00514687632182495
"1405"	"1405"	0.00225596490547561
"1406"	"1406"	0.00259624274485964
"1407"	"1407"	0.00443134716697095
"1408"	"1408"	0.00411868822315308
"1620"	"1620"	0.0050257783579706
"1622"	"1622"	0.00464689318307213
"1629"	"1629"	0.00172266431468841
"1632"	"1632"	0.003277654736824
"1701"	"1701"	0.00527732687925329
"1703"	"1703"	0.00305196979594682
"1704"	"1704"	0.00437051417519274
"1705"	"1705"	0.00402716320354279
"1706"	"1706"	-0.00143621983033458
"1430"	"1430"	0.00615357948983718
"1503"	"1503"	0.00478551443272841
"1509"	"1509"	0.00697783816407493
"1515"	"1515"	0.00394946599623792
"1601"	"1601"	0.00211126085377233
"1602"	"1602"	0.00499179042241007
"1604"	"1604"	0.00400557782567409
"1608"	"1608"	0.000756416717295499
"1611"	"1611"	0.0028120967834267
"1612"	"1612"	0.00423584157562546
"2660"	"2660"	0.00628975753192243
"2710"	"2710"	0.00296717098055115
"2746"	"2746"	0.00424392830602914
"2753"	"2753"	0.0022103028205164
"1810"	"1810"	0.00417021355487662
"1812"	"1812"	0.00476708013255834
"1814"	"1814"	-8.88328239388454e-05
"1815"	"1815"	0.00499179042241007
"1817"	"1817"	0.00326055726298401
"1911"	"1911"	0.00402000889879218
"1950"	"1950"	0.00425563415054084
"1968"	"1968"	-0.00143556446735375
"1970"	"1970"	0.00357278009277759
"2029"	"2029"	0.00252949944621433
"2040"	"2040"	0.00490286977731464
"2042"	"2042"	-0.000181143713103253
"2123"	"2123"	0.00540439326564517
"2145"	"2145"	0.00512215270646224
"2223"	"2223"	0.00292241649071114
"2330"	"2330"	0.00345215647439056
"2360"	"2360"	0.00321061716759449
"2430"	"2430"	0.00141310020839255
"2460"	"2460"	0.00298089234201631
"2503"	"2503"	0.00425388842589406
"2520"	"2520"	0.00410259965509902
"2601"	"2601"	0.00172552668721277
"2605"	"2605"	0.00359403400610208
"2611"	"2611"	0.00354283934084947
"2614"	"2614"	0.00459972685339393
"2642"	"2642"	0.00262938805888403
"2790"	"2790"	0.00599066552862191
"2791"	"2791"	0.00318804898022194
"3101"	"3101"	0.00324390450715641
"3115"	"3115"	0.00479187425300045
"3123"	"3123"	0.00217320446413454
"3130"	"3130"	0.00262239147155544
"3180"	"3180"	0.00364308741685138
"3220"	"3220"	0.00142468339191458
"3290"	"3290"	0.00149873325019438
"3292"	"3292"	0.00247695331013456
"3293"	"3293"	0.00262239147155544
"3294"	"3294"	0.00214214852028209
"3317"	"3317"	0.00384419353431721
"3320"	"3320"	0.000493600550367465
"3440"	"3440"	0.00317232221432137
