"sampleid"	"IR"
"1"	"nea3440"	-0.100137696892421
"2"	"nea3290"	-0.113316495599525
"3"	"nea3130"	-0.118843877121428
"4"	"nea3123"	-0.163128801666334
"5"	"nea3115"	-0.0725915145064682
"6"	"nea3101"	-0.141582683749718
"7"	"nea2746"	-0.168783513069369
"8"	"nea2710"	-0.171979920532045
"9"	"nea2660"	-0.16589314298766
"10"	"nea2642"	-0.147843070643961
"11"	"nea3317"	-0.158557632377952
"12"	"nea2611"	-0.167516229352025
"13"	"nea2330D"	-0.110396753830957
"14"	"nea2040"	-0.111452456516729
"15"	"nea3180"	-0.167086946363378
"16"	"nea2029"	-0.192794679847578
"17"	"nea1970D"	-0.0766899951831525
"18"	"nea1968"	-0.160623337290514
"19"	"nea2503"	-0.160696202179593
"20"	"nea1950"	-0.114336926538176
"21"	"nea1815"	-0.0960400271899885
"22"	"nea1810"	-0.100792201607107
"23"	"nea1703"	-0.190209156395761
"24"	"nea2601"	-0.137757038948954
"25"	"nea2430"	-0.136191918763421
"26"	"nea1701"	-0.164098747347766
"27"	"nea2460"	-0.170971377676749
"28"	"nea1622"	-0.116208918114362
"29"	"nea2790"	-0.153211423113232
"30"	"nea1406"	-0.112533720473175
"31"	"nea2123"	-0.130273670619906
"32"	"nea1503"	-0.192343437850525
"33"	"nea1151"	-0.155843565418007
"34"	"nea3293"	-0.0946966462910632
"35"	"nea1158"	-0.175887551776068
"36"	"nea2614"	-0.179012713162884
"37"	"nea1142"	-0.151396010793697
"38"	"nea1114"	-0.139550814101672
"39"	"nea1127"	-0.161520485568325
"40"	"nea1004"	-0.157947768788636
"41"	"nea1246"	-0.147416476248235
"42"	"nea1039"	-0.185075849530068
"43"	"nea1706"	-0.144053806973153
"44"	"nea1209"	-0.13413763219916
"45"	"nea1608"	-0.106269371047475
"46"	"nea2791"	-0.157463154499209
"47"	"nea1123"	-0.152740189082164
"48"	"nea1812"	-0.168452109925762
"49"	"nea1705"	-0.115961040641174
"50"	"nea1629"	-0.121866460506823
"51"	"nea1430"	-0.126207144862729
"52"	"nea1135"	-0.18964259258612
"53"	"nea1509"	-0.103670850396049
"54"	"nea1515"	-0.148512898830297
"55"	"nea1027"	-0.168701493662523
"56"	"nea1281"	-0.140576764901609
"57"	"nea1601"	-0.0896694642260417
"58"	"nea1208"	-0.130178751114959
"59"	"nea1408"	-0.150425698046509
"60"	"nea1242"	-0.170990494981254
"61"	"nea2520"	-0.135156218019939
"62"	"nea1243"	-0.177859083987705
"63"	"nea1254"	-0.110937801654388
"64"	"nea1308"	-0.136647722024635
"65"	"nea1245"	-0.135049397014176
"66"	"nea1266"	-0.142361634524696
"67"	"nea1303"	-0.127347416816244
"68"	"nea1704"	-0.16457322057707
"69"	"nea1407"	-0.133229315045182
"70"	"nea1911"	-0.0748360763909268
"71"	"nea2223"	-0.154302129388967
"72"	"nea1267"	-0.140243044354678
"73"	"nea1310"	-0.101987912786419
"74"	"nea1240"	-0.125143828589555
"75"	"nea1315"	-0.13958765210095
"76"	"nea1233"	-0.163673649380852
"77"	"nea1405"	-0.139829087614515
"78"	"nea1611"	-0.0967683861314839
"79"	"nea2145"	-0.105591638942546
"80"	"nea1301"	-0.138919238304586
