"INDV"	"F"
"1"	"nea3440"	-0.06143
"2"	"nea3290"	-0.08967
"3"	"nea3220"	-0.09451
"4"	"nea3130"	-0.05969
"5"	"nea3123"	-0.12922
"6"	"nea3115"	-0.01899
"7"	"nea3101"	-0.13257
"8"	"nea2746"	-0.15901
"9"	"nea2710"	-0.14045
"10"	"nea2660"	-0.14353
"11"	"nea2642"	-0.13332
"12"	"nea3317"	-0.1512
"13"	"nea2611"	-0.1474
"14"	"nea2605"	-0.14976
"15"	"nea2330D"	-0.06825
"16"	"nea2040"	-0.05156
"17"	"nea3180"	-0.14465
"18"	"nea2029"	-0.15627
"19"	"nea1970D"	-0.03489
"20"	"nea1968"	-0.12503
"21"	"nea2503"	-0.13463
"22"	"nea1950"	-0.07157
"23"	"nea1815"	-0.03986
"24"	"nea1810"	-0.05903
"25"	"nea1703"	-0.19907
"26"	"nea2601"	-0.13253
"27"	"nea2430"	-0.1235
"28"	"nea1701"	-0.16008
"29"	"nea2753"	-0.08809
"30"	"nea1632"	-0.073
"31"	"nea2460"	-0.14584
"32"	"nea1622"	-0.07417
"33"	"nea2790"	-0.15653
"34"	"nea1406"	-0.04659
"35"	"nea2123"	-0.1168
"36"	"nea1503"	-0.14878
"37"	"nea1151"	-0.11253
"38"	"nea3293"	-0.08746
"39"	"nea1158"	-0.14917
"40"	"nea1145"	-0.0854
"41"	"nea2614"	-0.15624
"42"	"nea1142"	-0.10795
"43"	"nea1114"	-0.08801
"44"	"nea1127"	-0.1141
"45"	"nea1004"	-0.14212
"46"	"nea1246"	-0.12675
"47"	"nea1039"	-0.17096
"48"	"nea1706"	-0.11084
"49"	"nea1209"	-0.11347
"50"	"nea1608"	-0.06364
"51"	"nea2791"	-0.12167
"52"	"nea1123"	-0.11577
"53"	"nea1812"	-0.14143
"54"	"nea1705"	-0.0893
"55"	"nea1629"	-0.08827
"56"	"nea1430"	-0.11449
"57"	"nea1135"	-0.15808
"58"	"nea1157"	-0.1106
"59"	"nea1509"	-0.12893
"60"	"nea1515"	-0.14448
"61"	"nea1027"	-0.14262
"62"	"nea1281"	-0.11882
"63"	"nea1601"	-0.08363
"64"	"nea4020"	-0.08578
"65"	"nea1208"	-0.08349
"66"	"nea1408"	-0.1293
"67"	"nea1242"	-0.14199
"68"	"nea2520"	-0.14298
"69"	"nea1243"	-0.16362
"70"	"nea1254"	-0.05912
"71"	"nea1308"	-0.11144
"72"	"nea1245"	-0.1021
"73"	"nea1266"	-0.11328
"74"	"nea1303"	-0.10092
"75"	"nea1704"	-0.13423
"76"	"nea1407"	-0.11563
"77"	"nea1911"	-0.05221
"78"	"nea2223"	-0.1278
"79"	"nea1267"	-0.08233
"80"	"nea1310"	-0.09418
"81"	"nea1240"	-0.09611
"82"	"nea1315"	-0.10494
"83"	"nea1233"	-0.15857
"84"	"nea1405"	-0.11287
"85"	"nea1611"	0.00549
"86"	"nea1602"	-0.06185
"87"	"nea2145"	-0.07076
"88"	"nea1301"	-0.11501
"89"	"nea1612"	-0.15287
