"id"	"num_100kb"	"totalLength"	"FROH"	"nea"
"1"	1	64	28314627	0.0130675878762902	"nea1004_bwa_rg"
"2"	2	64	50978770	0.0235274000536962	"nea1027_bwa_rg"
"3"	3	74	38910960	0.0179579405778792	"nea1039_bwa_rg"
"4"	4	88	110717248	0.0510975252353145	"nea1114_bwa_rg"
"5"	5	43	26288769	0.0121326266832685	"nea1123_bwa_rg"
"6"	6	59	84017446	0.0387752011971222	"nea1127_bwa_rg"
"7"	7	39	18672763	0.00861773568112483	"nea1135_bwa_rg"
"8"	8	55	62591930	0.0288870323321443	"nea1142_bwa_rg"
"9"	9	32	81825946	0.0377637939541135	"nea1145_bwa_rg"
"10"	10	59	76161481	0.0351495658323844	"nea1151_bwa_rg"
"11"	11	18	71908900	0.0331869414997897	"nea1157_bwa_rg"
"12"	12	38	40490735	0.0186870283612806	"nea1158_bwa_rg"
"13"	13	7	21371864	0.00986340773269319	"nea1204_bwa_rg"
"14"	14	57	47199057	0.0217830107748031	"nea1208_bwa_rg"
"15"	15	95	94181965	0.0434662658278772	"nea1209_bwa_rg"
"16"	16	81	90316993	0.041682528353624	"nea1233_bwa_rg"
"17"	17	71	48440027	0.0223557354137976	"nea1240_bwa_rg"
"18"	18	6	13262073	0.00612062819507656	"nea1241_bwa_rg"
"19"	19	70	53384253	0.0246375633797899	"nea1242_bwa_rg"
"20"	20	44	37888699	0.01748615313565	"nea1243_bwa_rg"
"21"	21	74	100296438	0.0462881788004445	"nea1245_bwa_rg"
"22"	22	89	154652881	0.0713744211706887	"nea1246_bwa_rg"
"23"	23	67	41980647	0.0193746431403112	"nea1254_bwa_rg"
"24"	24	71	53165375	0.0245365481872116	"nea1266_bwa_rg"
"25"	25	92	70849635	0.0326980762051214	"nea1267_bwa_rg"
"26"	26	73	52106951	0.0240480710255533	"nea1281_bwa_rg"
"27"	27	70	76964431	0.0355201382466093	"nea1301_bwa_rg"
"28"	28	36	74278445	0.0342805189470336	"nea1303_bwa_rg"
"29"	29	83	172457161	0.0795913400611998	"nea1308_bwa_rg"
"30"	30	27	38205854	0.0176325245087535	"nea1310_bwa_rg"
"31"	31	52	66350631	0.0306217242854658	"nea1315_bwa_rg"
"32"	32	4	1698716	0.000783980682735472	"nea1334_bwa_rg"
"33"	33	50	68591816	0.0316560618359666	"nea1405_bwa_rg"
"34"	34	87	135982480	0.0627577755848904	"nea1406_bwa_rg"
"35"	35	57	60966403	0.0281368293745782	"nea1407_bwa_rg"
"36"	36	60	32269433	0.0148927849710173	"nea1408_bwa_rg"
