"INDV"	"F"
"1"	"nea1004_bwa_rg"	-0.0888
"2"	"nea1027_bwa_rg"	-0.08946
"3"	"nea1039_bwa_rg"	-0.1213
"4"	"nea1114_bwa_rg"	-0.05649
"5"	"nea1123_bwa_rg"	-0.13921
"6"	"nea1127_bwa_rg"	-0.09983
"7"	"nea1135_bwa_rg"	-0.14198
"8"	"nea1142_bwa_rg"	-0.08944
"9"	"nea1145_bwa_rg"	-0.11034
"10"	"nea1151_bwa_rg"	-0.08435
"11"	"nea1157_bwa_rg"	-0.13336
"12"	"nea1158_bwa_rg"	-0.11854
"13"	"nea1204_bwa_rg"	-0.25338
"14"	"nea1208_bwa_rg"	-0.10233
"15"	"nea1209_bwa_rg"	-0.07097
"16"	"nea1233_bwa_rg"	-0.10077
"17"	"nea1240_bwa_rg"	-0.10542
"18"	"nea1241_bwa_rg"	-0.262
"19"	"nea1242_bwa_rg"	-0.11881
"20"	"nea1243_bwa_rg"	-0.13411
"21"	"nea1245_bwa_rg"	-0.07031
"22"	"nea1246_bwa_rg"	-0.06304
"23"	"nea1254_bwa_rg"	-0.10208
"24"	"nea1266_bwa_rg"	-0.08591
"25"	"nea1267_bwa_rg"	-0.06149
"26"	"nea1281_bwa_rg"	-0.10919
"27"	"nea1301_bwa_rg"	-0.10546
"28"	"nea1303_bwa_rg"	-0.12166
"29"	"nea1308_bwa_rg"	-0.0621
"30"	"nea1310_bwa_rg"	-0.1285
"31"	"nea1315_bwa_rg"	-0.06779
"32"	"nea1334_bwa_rg"	-0.22313
"33"	"nea1405_bwa_rg"	-0.08101
"34"	"nea1406_bwa_rg"	-0.04085
"35"	"nea1407_bwa_rg"	-0.09654
"36"	"nea1408_bwa_rg"	-0.12205
"37"	"nea1430_bwa_rg"	-0.08154
"38"	"nea1503_bwa_rg"	-0.11218
"39"	"nea1509_bwa_rg"	-0.14696
"40"	"nea1515_bwa_rg"	-0.14861
"41"	"nea1601_bwa_rg"	-0.11901
"42"	"nea1602_bwa_rg"	-0.08174
"43"	"nea1608_bwa_rg"	-0.05765
"44"	"nea1611_bwa_rg"	-0.06316
"45"	"nea1612_bwa_rg"	-0.21348
"46"	"nea1622_bwa_rg"	-0.09109
"47"	"nea1629_bwa_rg"	-0.07105
"48"	"nea1632_bwa_rg"	-0.10918
"49"	"nea1701_bwa_rg"	-0.10258
"50"	"nea1703_bwa_rg"	-0.15205
"51"	"nea1704_bwa_rg"	-0.08069
"52"	"nea1705_bwa_rg"	-0.05483
"53"	"nea1706_bwa_rg"	-0.08047
"54"	"nea1810_bwa_rg"	-0.07198
"55"	"nea1812_bwa_rg"	-0.1007
"56"	"nea1815_bwa_rg"	-0.01983
"57"	"nea1817_bwa_rg"	-0.25049
"58"	"nea1911_bwa_rg"	-0.00891
"59"	"nea1950_bwa_rg"	-0.09005
"60"	"nea1968_bwa_rg"	-0.09684
"61"	"nea1970D_bwa_rg"	-0.04531
"62"	"nea2029_bwa_rg"	-0.11018
"63"	"nea2040_bwa_rg"	-0.05197
"64"	"nea2123_bwa_rg"	-0.07172
"65"	"nea2145_bwa_rg"	-0.06942
"66"	"nea2223_bwa_rg"	-0.15035
"67"	"nea2330D_bwa_rg"	-0.0654
"68"	"nea2430_bwa_rg"	-0.09258
"69"	"nea2460_bwa_rg"	-0.10556
"70"	"nea2503_bwa_rg"	-0.09471
"71"	"nea2520_bwa_rg"	-0.13673
"72"	"nea2601_bwa_rg"	-0.06953
"73"	"nea2605_bwa_rg"	-0.15743
"74"	"nea2611_bwa_rg"	-0.10392
"75"	"nea2614_bwa_rg"	-0.09651
"76"	"nea2642_bwa_rg"	-0.0673
"77"	"nea2660_bwa_rg"	-0.10313
"78"	"nea2710_bwa_rg"	-0.10906
"79"	"nea2746_bwa_rg"	-0.08695
"80"	"nea2753_bwa_rg"	-0.14003
"81"	"nea2790_bwa_rg"	-0.11503
"82"	"nea2791_bwa_rg"	-0.08113
"83"	"nea3101_bwa_rg"	-0.12317
"84"	"nea3115_bwa_rg"	-0.03169
"85"	"nea3123_bwa_rg"	-0.0789
"86"	"nea3130_bwa_rg"	-0.0764
"87"	"nea3180_bwa_rg"	-0.09999
"88"	"nea3220_bwa_rg"	-0.1494
"89"	"nea3290_bwa_rg"	-0.057
"90"	"nea3293_bwa_rg"	-0.06936
"91"	"nea3317_bwa_rg"	-0.10884
"92"	"nea3440_bwa_rg"	-0.03862
"93"	"nea4020_bwa_rg"	-0.17912
