"sampleid"	"IR"
"1"	"nea1004_bwa_rg"	-0.105208727806179
"2"	"nea1027_bwa_rg"	-0.0948225724513511
"3"	"nea1039_bwa_rg"	-0.115305773337356
"4"	"nea1114_bwa_rg"	-0.0794381373383784
"5"	"nea1123_bwa_rg"	-0.137236238406814
"6"	"nea1127_bwa_rg"	-0.130575925829292
"7"	"nea1135_bwa_rg"	-0.147893178904233
"8"	"nea1142_bwa_rg"	-0.107410826464002
"9"	"nea1145_bwa_rg"	-0.116696874851471
"10"	"nea1151_bwa_rg"	-0.105140901129068
"11"	"nea1157_bwa_rg"	-0.135171676456572
"12"	"nea1158_bwa_rg"	-0.137477079507906
"13"	"nea1204_bwa_rg"	-0.230362481971377
"14"	"nea1208_bwa_rg"	-0.121536059896585
"15"	"nea1209_bwa_rg"	-0.077901833396582
"16"	"nea1233_bwa_rg"	-0.0927147216701862
"17"	"nea1240_bwa_rg"	-0.10124371890137
"18"	"nea1241_bwa_rg"	-0.244002910039267
"19"	"nea1242_bwa_rg"	-0.109640714902389
"20"	"nea1243_bwa_rg"	-0.13928661707994
"21"	"nea1245_bwa_rg"	-0.084578740163862
"22"	"nea1246_bwa_rg"	-0.0651847176857931
"23"	"nea1254_bwa_rg"	-0.0986042426052982
"24"	"nea1266_bwa_rg"	-0.0990259688070278
"25"	"nea1267_bwa_rg"	-0.0715311195813661
"26"	"nea1281_bwa_rg"	-0.100183260475726
"27"	"nea1301_bwa_rg"	-0.10181443883769
"28"	"nea1303_bwa_rg"	-0.127787477504536
"29"	"nea1308_bwa_rg"	-0.0585492395353461
"30"	"nea1310_bwa_rg"	-0.132261931476327
"31"	"nea1315_bwa_rg"	-0.0895340775444565
"32"	"nea1334_bwa_rg"	-0.189489624098434
"33"	"nea1405_bwa_rg"	-0.0982789061039157
"34"	"nea1406_bwa_rg"	-0.0673333994109409
"35"	"nea1407_bwa_rg"	-0.0987891406988591
"36"	"nea1408_bwa_rg"	-0.118220090324116
"37"	"nea1430_bwa_rg"	-0.0814938747323009
"38"	"nea1503_bwa_rg"	-0.12593861861597
"39"	"nea1509_bwa_rg"	-0.11591101160769
"40"	"nea1515_bwa_rg"	-0.13469394622203
"41"	"nea1601_bwa_rg"	-0.11917079758962
"42"	"nea1602_bwa_rg"	-0.097494792567319
"43"	"nea1608_bwa_rg"	-0.0768168920604946
"44"	"nea1611_bwa_rg"	-0.0700955920478807
"45"	"nea1612_bwa_rg"	-0.188048191199882
"46"	"nea1622_bwa_rg"	-0.117502982464313
"47"	"nea1629_bwa_rg"	-0.0803392473178821
"48"	"nea1632_bwa_rg"	-0.0841469630576575
"49"	"nea1701_bwa_rg"	-0.106012750232982
"50"	"nea1703_bwa_rg"	-0.145811589049076
"51"	"nea1704_bwa_rg"	-0.0983655372651721
"52"	"nea1705_bwa_rg"	-0.0732485884087509
"53"	"nea1706_bwa_rg"	-0.0879507921916561
"54"	"nea1810_bwa_rg"	-0.0950596151885497
"55"	"nea1812_bwa_rg"	-0.103166641043952
"56"	"nea1815_bwa_rg"	-0.0396703468095495
"57"	"nea1817_bwa_rg"	-0.217187117192133
"58"	"nea1911_bwa_rg"	-0.0115676135814555
"59"	"nea1950_bwa_rg"	-0.0985480209740457
"60"	"nea1968_bwa_rg"	-0.107879504193156
"61"	"nea1970D_bwa_rg"	-0.0609581421802217
"62"	"nea2029_bwa_rg"	-0.120961790904379
"63"	"nea2040_bwa_rg"	-0.0777562610481839
"64"	"nea2123_bwa_rg"	-0.0913275587013255
"65"	"nea2145_bwa_rg"	-0.0889745217351851
"66"	"nea2223_bwa_rg"	-0.14214164457417
"67"	"nea2330D_bwa_rg"	-0.0796291078029941
"68"	"nea2430_bwa_rg"	-0.0970589018930876
"69"	"nea2460_bwa_rg"	-0.112847767677382
"70"	"nea2503_bwa_rg"	-0.0987033208358657
"71"	"nea2520_bwa_rg"	-0.11524655807085
"72"	"nea2601_bwa_rg"	-0.0706154124252704
"73"	"nea2605_bwa_rg"	-0.185469954615227
"74"	"nea2611_bwa_rg"	-0.104441126466421
"75"	"nea2614_bwa_rg"	-0.113645221552563
"76"	"nea2642_bwa_rg"	-0.0763674301231363
"77"	"nea2660_bwa_rg"	-0.108589378152431
"78"	"nea2710_bwa_rg"	-0.10845551218815
"79"	"nea2746_bwa_rg"	-0.0876247245715266
"80"	"nea2753_bwa_rg"	-0.154506192675611
"81"	"nea2790_bwa_rg"	-0.110045724490951
"82"	"nea2791_bwa_rg"	-0.0932117798017247
"83"	"nea3101_bwa_rg"	-0.108227368450581
"84"	"nea3115_bwa_rg"	-0.0500204265235671
"85"	"nea3123_bwa_rg"	-0.0845347616480043
"86"	"nea3130_bwa_rg"	-0.0986895466272529
"87"	"nea3180_bwa_rg"	-0.101346223114988
"88"	"nea3220_bwa_rg"	-0.179535371095057
"89"	"nea3290_bwa_rg"	-0.076428867848563
"90"	"nea3293_bwa_rg"	-0.0770429070046333
"91"	"nea3317_bwa_rg"	-0.112418393687986
"92"	"nea3440_bwa_rg"	-0.0476170162384369
"93"	"nea4020_bwa_rg"	-0.166663880771162
